anno;risparmio_pubblico;saldo_netto;indebitamento_netto;ricorso_mercato;avanzo_primario;spese_correnti;spese_interessi;spese_conto_capitale;spese_acq_att_fine;spese_rimborso_prestiti;spese_complessive;spese_finali;spese_fin_netto_att_fin;entrate_tributarie;entrate_extra_tributarie;entr_alien_patr_riscos;riscossione_crediti;entr_accensione_prestiti;entrate_finali;entr_fin_netto_risco_cred;entrate_correnti
2003;-23527106344.85;-76608438560.85;-70589525371.85;-333428879750.18;-469519795.74;404491049044.85;76138918765.11;61602074235.00;7116577049.00;256820441189.33;722913564469.18;466093123279.85;458976546230.85;355706649246.00;25257293454.00;8520742019.00;1097663860.00;323025518751.18;389484684719.00;388387020859.00;380963942700.00
2004;-30341184650.00;-63777783304.76;-57927611571.76;-298880446856.76;11342166924.46;423863010729.00;75119950229.22;48548637821.76;6051618598.00;235102663552.00;707514312102.76;472411648550.76;466360029952.76;364955511012.00;28566315067.00;15112039167.00;201446865.00;291025385111.36;408633865246.00;408432418381.00;393521826079.00
2005;-27020371868.32;-58445411507.42;-55169109483.42;-259929492773.42;17967721312.10;437872619916.32;76413132819.52;47811091762.10;6557304682.00;201484081266.00;687167792944.42;485683711678.42;479126406996.42;381431229004.00;29421019044.00;16386052123.00;3281002658.00;259560984207.42;427238300171.00;423957297513.00;410852248048.00
2006;-8512306070.07;-45004367358.10;-45602974733.10;-234128614666.10;30689365339.90;439557751203.07;75693732698.00;39823934288.03;868270239.00;189124247308.00;668505932799.10;479381685491.10;478513415252.10;402347500528.00;28697944605.00;3331873000.00;1466877614.00;235594720698.10;434377318133.00;432910440519.00;431045445133.00
2007;15959888890.73;-32446030884.00;-32180004416.00;-223639678240.00;44089973785.87;457766592245.27;76536004669.87;54773460056.73;1020686827.00;191193647356.00;703733699658.00;512540052302.00;511519365475.00;440510285000.00;33216196136.00;6367540282.00;754660359.00;211314074606.00;480094021418.00;479339361059.00;473726481136.00
2008;-3039686091.82;-64411436279.43;-55898867792.43;-258884895518.43;21042783602.57;489192445598.82;85454219882.00;64849664010.61;9722872406.00;194473459239.00;748515568848.43;554042109609.43;544319237203.43;453581106800.00;32571652707.00;3477913823.00;1210303919.00;242723743676.00;489630673330.00;488420369411.00;486152759507.00
2009;-20255201694.76;-78045265936.01;-74143432966.87;-294005262004.01;995133580.47;497581776986.75;79040399516.48;60706232870.25;4582703357.14;215959996068.00;774248005925.00;558288009857.00;553705306499.86;441152358367.00;36174216925.00;2916168629.00;680870388.00;296073180684.01;480242743920.99;479561873533.00;477326575291.99
2010;-13446770285.16;-63798716015.27;-59259278019.66;-288752422280.27;11533382392.49;491815839285.16;75332098407.76;52547594782.11;5446666685.61;224953706265.00;769317140332.27;544363434067.27;538916767381.66;443439701579.00;34929367421.00;2195649052.00;907228690.00;288860698150.97;480564718052.00;479657489362.00;478369069000.00
2011;-606199157.86;-46064762384.00;-41657499529.18;-243280532386.00;33521631310.00;490490407782.86;79586393694.00;48813017432.14;5390035762.82;197215770002.00;736519195217.00;539303425215.00;533913389452.18;452260716000.00;37623492625.00;3354454206.00;982772908.00;243222795795.00;493238662831.00;492255889923.00;489884208625.00
2012;25896331085.00;-18490838845.00;-11896002103.00;-266894641954.00;70033436945.00;508447573289.00;88524275790.00;46829656350.00;7955406830.00;248403803109.00;803681032748.00;555277229639.00;547321822809.00;482458877000.00;51885027374.00;2442486420.00;1360570088.00;266671739280.00;536786390794.00;535425820706.00;534343904374.00
2013;16307464020.21;-51187902643.69;-25669339063.69;-250679715135.69;38694929553.31;528762957965.74;89882832197.00;71279962067.90;26964049006.00;199491812492.00;799534732525.64;600042920033.64;573078871027.64;470025411000.00;75045010986.00;3784595404.00;1445485426.00;249632036346.69;548855017389.95;547409531964.00;545070421985.95
2014;8204749975.31;-62832798522.00;-27455515852.00;-289722499604.00;27959365488.00;543230796936.69;90792164010.00;77537845946.31;36928877477.00;226889701082.00;847658343965.00;620768642883.00;583839765406.00;478538136436.00;72897410476.00;6500297449.00;1551594807.00;290692196308.00;557935844361.00;556384249554.00;551435546912.00
2015;-33393266568.17;-65550846622.00;-66019249309.00;-298613387000.00;15306547912.50;582392120640.17;80857394534.50;42315980307.83;1500128064.00;233062540378.00;857770641326.00;624708100948.00;623207972884.00;478138006060.00;70860848012.00;10158400254.00;1968530751.00;304651577302.00;559157254326.00;557188723575.00;548998854072.00
2016;-562654706.18;-38927789711.56;-39167664071.56;-257658128407.56;40593985807.25;566897952708.62;79521775518.81;43635334917.38;2314283531.00;218730338696.00;829263626322.00;610533287626.00;608219004095.00;487774944898.00;78560353104.44;5270199912.00;2554157891.00;258096150793.00;571605497914.44;569051340023.44;566335298002.44
2017;6948672723.63;-53707818132.70;-31939817743.70;-304935194727.70;23676962037.30;568027337999.10;77384780170.00;63713554268.90;23597973041.00;251227376595.00;882968268863.00;631740892268.00;608142919227.00;497001810000.00;77974200722.73;3057063412.57;1829972652.00;314194723378.00;578033074135.30;576203101483.30;574976010722.73
